"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Palliolum tigerinum";"Palliolum tigerinum";"140710";140710;"Palliolum";"Pectinidae";"Pectinida";"Bivalvia";"Mollusca"
"Suberites ficus";"Suberites ficus";"134285";134285;"Suberites";"Suberitidae";"Suberitida";"Demospongiae";"Porifera"
"Axinella infundibuliformis";"Axinella infundibuliformis";"132480";132480;"Axinella";"Axinellidae";"Axinellida";"Demospongiae";"Porifera"
"Paguroidea";"Paguroidea";"106687";106687;NA;NA;"Decapoda";"Malacostraca";"Arthropoda"
"Nudibranchia";"Nudibranchia";"1762";1762;NA;NA;"Nudibranchia";"Gastropoda";"Mollusca"
"Diphasia alata";"Diphasia alata";"117876";117876;"Diphasia";"Sertulariidae";"Leptothecata";"Hydrozoa";"Cnidaria"
"Porella compressa";"Porella compressa";"111124";111124;"Porella";"Bryocryptellidae";"Cheilostomatida";"Gymnolaemata";"Bryozoa"
"Ergasticus clouei";"Ergasticus clouei";"107317";107317;"Ergasticus";"Oregoniidae";"Decapoda";"Malacostraca";"Arthropoda"
"Plesionika martia";"Plesionika martia";"107661";107661;"Plesionika";"Pandalidae";"Decapoda";"Malacostraca";"Arthropoda"
"Pseudamussium peslutrae";"Pseudamussium peslutrae";"140717";140717;"Pseudamussium";"Pectinidae";"Pectinida";"Bivalvia";"Mollusca"
"Cheilostomatida";"Cheilostomatida";"110722";110722;NA;NA;"Cheilostomatida";"Gymnolaemata";"Bryozoa"
"Terebratulina retusa";"Terebratulina retusa";"104055";104055;"Terebratulina";"Cancellothyrididae";"Terebratulida";"Rhynchonellata";"Brachiopoda"
"Polyplumaria flabellata";"Polyplumaria flabellata";"117827";117827;"Polyplumaria";"Halopterididae";"Leptothecata";"Hydrozoa";"Cnidaria"
"Oestergrenia digitata";"Oestergrenia digitata";"152547";152547;"Oestergrenia";"Synaptidae";"Apodida";"Holothuroidea";"Echinodermata"
"Acanthephyra pelagica";"Acanthephyra pelagica";"107581";107581;"Acanthephyra";"Acanthephyridae";"Decapoda";"Malacostraca";"Arthropoda"
"Echinothuriidae";"Echinothuriidae";"160734";160734;NA;"Echinothuriidae";"Echinothurioida";"Echinoidea";"Echinodermata"
"Ephyrina figueirai figueirai";"Ephyrina figueirai figueirai";"515735";515735;"Ephyrina";"Acanthephyridae";"Decapoda";"Malacostraca";"Arthropoda"
"Epizoanthus paguriphilus";"Epizoanthus paguriphilus";"101036";101036;"Epizoanthus";"Epizoanthidae";"Zoantharia";"Anthozoa";"Cnidaria"
"Parapagurus pilosimanus";"Parapagurus pilosimanus";"107248";107248;"Parapagurus";"Parapaguridae";"Decapoda";"Malacostraca";"Arthropoda"
"Pasiphaea tarda";"Pasiphaea tarda";"107678";107678;"Pasiphaea";"Pasiphaeidae";"Decapoda";"Malacostraca";"Arthropoda"
